Episode,Reward,Length,Final_Pest_Level
1,58.523065161704984,30,0.03994268551468849
2,58.09341886341569,30,0.014399999752640724
3,58.882896993458246,30,0.0144
4,55.86844572424888,30,0.051238711923360825
5,47.18403336405754,30,0.8984829187393188
6,29.779358470439917,26,0.9971965551376343
7,56.58936533927914,30,0.030847009271383286
8,56.539137653261406,30,0.012
9,58.66130961179731,30,0.011692413128912449
10,58.17279315306243,30,0.02480580471456051
