episode_num,episode_reward,cumulative_reward,moving_avg_10,moving_avg_100,episode_length,policy_loss,value_loss,entropy,learning_rate,explained_variance,total_loss,loss_variance_window
1,-14.999999999999993,-14.999999999999993,-14.999999999999993,-14.999999999999993,25,0.00046902894973754883,18.035186767578125,3.091041326522827,0.0005,0.0,18.035655796527863,
2,-11.599999999999993,-26.599999999999987,-13.299999999999994,-13.299999999999994,25,-0.006200170610100031,11.544984817504883,3.0883336067199707,0.0005,0.18750286102294922,11.538784646894783,
3,-5.999999999999993,-32.59999999999998,-10.86666666666666,-10.86666666666666,25,0.01618962362408638,7.804863929748535,3.087239980697632,0.0005,-0.2813335657119751,7.8210535533726215,
4,0.31999999999999984,-32.27999999999998,-8.069999999999995,-8.069999999999995,9,-0.022535955533385277,3.1163926124572754,3.085875988006592,0.0005,-0.09888601303100586,3.09385665692389,17.81877313383869
5,-14.999999999999993,-47.27999999999997,-9.455999999999994,-9.455999999999994,25,0.022415030747652054,9.735773086547852,3.076603412628174,0.0005,0.25909698009490967,9.758188117295504,29.830594936650414
6,-5.040000000000001,-52.31999999999997,-8.719999999999995,-8.719999999999995,17,-0.05402970314025879,6.870014190673828,3.0794081687927246,0.0005,0.422416627407074,6.815984487533569,23.885692732032297
7,-12.499999999999993,-64.81999999999996,-9.259999999999994,-9.259999999999994,25,0.04322979599237442,7.136847019195557,3.0736162662506104,0.0005,0.4218617081642151,7.180076815187931,21.356920709484147
8,-4.229999999999999,-69.04999999999997,-8.631249999999994,-8.631249999999994,24,-0.050741247832775116,6.836026191711426,3.074490547180176,0.0005,-0.9446316957473755,6.785284943878651,18.97098657129653
9,-14.999999999999993,-84.04999999999995,-9.338888888888883,-9.338888888888883,25,-0.06828106939792633,15.739384651184082,3.067331075668335,0.0005,0.07489138841629028,15.671103581786156,17.22561502366455
10,-9.049999999999999,-93.09999999999995,-9.309999999999995,-9.309999999999995,25,0.015515590086579323,7.737393379211426,3.0675647258758545,0.0005,-0.7034080028533936,7.752908969298005,33.39446067476093
11,-8.159999999999997,-101.25999999999995,-8.625999999999994,-9.205454545454542,23,0.023105550557374954,8.335718154907227,3.0724663734436035,0.0005,0.22756260633468628,8.358823705464602,28.330803122671142
12,-9.699999999999992,-110.95999999999994,-8.435999999999996,-9.24666666666666,25,-0.09250327199697495,11.424221992492676,3.0605525970458984,0.0005,0.5241631865501404,11.3317187204957,28.210048726061597
13,-8.599999999999998,-119.55999999999993,-8.695999999999994,-9.196923076923072,25,-0.1357865035533905,2.0621631145477295,3.0343000888824463,0.0005,-0.6050384044647217,1.926376610994339,28.07026420950903
14,-10.049999999999997,-129.60999999999993,-9.732999999999995,-9.257857142857137,25,-0.12464401870965958,1.9381955862045288,3.049298048019409,0.0005,-0.15019214153289795,1.8135515674948692,30.012000481807366
15,-9.299999999999999,-138.90999999999994,-9.162999999999997,-9.260666666666662,25,-0.0861845463514328,5.00725793838501,2.990309715270996,0.0005,-0.5206056833267212,4.921073392033577,35.448309668526846
16,-10.999999999999993,-149.90999999999994,-9.758999999999995,-9.369374999999994,25,0.011353755369782448,8.024168014526367,2.9404492378234863,0.0005,0.31002241373062134,8.03552176989615,36.954968428552164
17,-5.92,-155.82999999999993,-9.100999999999997,-9.166470588235288,21,-0.16200599074363708,3.7735257148742676,2.9542014598846436,0.0005,-1.484739065170288,3.6115197241306305,36.47374732935267
18,0.4500000000000006,-155.37999999999994,-8.632999999999997,-8.632222222222218,15,-0.03408709913492203,38.83340072631836,2.933081865310669,0.0005,-0.35626697540283203,38.79931362718344,34.431201448755395
19,-8.5,-163.87999999999994,-7.982999999999997,-8.625263157894732,25,-0.1634168028831482,34.254634857177734,2.9745798110961914,0.0005,0.049758315086364746,34.091218054294586,104.31293334701044
20,-3.3499999999999983,-167.22999999999993,-7.412999999999997,-8.361499999999996,20,-0.19884458184242249,7.416262626647949,2.935080051422119,0.0005,-1.264967918395996,7.217418044805527,155.9884345862833
21,-6.050000000000001,-173.27999999999994,-7.201999999999996,-8.251428571428567,25,0.002426230814307928,43.69775390625,2.913764715194702,0.0005,-0.006531357765197754,43.70018013706431,157.0348381753384
22,-8.65,-181.92999999999995,-7.096999999999999,-8.269545454545451,25,0.03839290142059326,1.7326231002807617,2.955620527267456,0.0005,-0.005646347999572754,1.771016001701355,239.4424487538186
23,1.1999999999999997,-180.72999999999996,-6.116999999999998,-7.857826086956519,5,0.03839290142059326,1.7326231002807617,2.955620527267456,0.0005,-0.005646347999572754,1.771016001701355,239.4424487538186
24,-7.800000000000001,-188.52999999999997,-5.891999999999999,-7.855416666666663,25,-0.110870361328125,16.163938522338867,2.9115922451019287,0.0005,0.422679603099823,16.053068161010742,256.20379018746837
25,-8.299999999999999,-196.82999999999998,-5.791999999999999,-7.873199999999997,25,-0.10429537296295166,3.3449249267578125,2.8547933101654053,0.0005,0.9016506671905518,3.240629553794861,237.4481187729492
26,-7.6499999999999995,-204.48,-5.457,-7.864615384615382,25,-0.1471378356218338,3.807457447052002,2.9854705333709717,0.0005,-0.3942321538925171,3.660319611430168,247.05969687222574
27,0.48,-204.0,-4.817,-7.555555555555554,11,-0.1471378356218338,3.807457447052002,2.9854705333709717,0.0005,-0.3942321538925171,3.660319611430168,247.05969687222574
28,-8.249999999999998,-212.25,-5.686999999999999,-7.580357142857141,25,-0.16700394451618195,42.54199981689453,2.9267537593841553,0.0005,0.10082751512527466,42.37499587237835,246.94128080189347
