episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,loss,q_value_mean,exploration_rate,target_updates,loss_variance_window
41,924,-1.3399999999999999,17,-374.83999999999986,-5.220999999999998,-9.14243902439024,True,True,True,True,False,TREAT,0,0,,,0.9933472,0.0,
42,948,-12.499999999999993,25,-387.33999999999986,-4.970999999999997,-9.222380952380949,True,False,False,False,False,NAVIGATE,2,2,,,0.9931744,0.0,
43,968,-6.08,19,-393.41999999999985,-5.242999999999998,-9.149302325581392,True,True,True,False,False,TREAT,4,2,,,0.9930304,0.0,
44,992,-14.999999999999993,25,-408.41999999999985,-8.072999999999997,-9.282272727272725,False,False,False,False,False,ANALYZE,1,1,,,0.9928576,0.0,
45,1004,0.7800000000000002,11,-407.6399999999999,-6.744999999999999,-9.058666666666664,True,True,True,True,False,TREAT,0,0,,,0.9927712,0.0,
46,1028,-14.999999999999993,25,-422.6399999999999,-8.267,-9.18782608695652,False,False,False,False,False,ANALYZE,2,2,,,0.9925984,0.0,
47,1052,-14.999999999999993,25,-437.6399999999999,-8.876999999999999,-9.311489361702124,False,False,False,False,False,ANALYZE,1,1,,,0.9924256,0.0,
48,1080,-11.599999999999996,25,-449.2399999999999,-9.151999999999996,-9.359166666666662,True,True,False,False,False,NAVIGATE,3,2,,,0.992224,0.0,
49,1104,-9.999999999999998,25,-459.2399999999999,-8.651999999999997,-9.37224489795918,True,True,False,False,False,NAVIGATE,3,1,,,0.9920512,0.0,
50,1128,-5.979999999999993,24,-465.2199999999999,-9.171999999999995,-9.304399999999996,True,True,True,True,False,TREAT,0,0,,,0.9918784,0.0,
51,1152,-14.999999999999993,25,-480.2199999999999,-10.537999999999993,-9.416078431372545,False,False,False,False,False,ANALYZE,2,2,,,0.9917056000000001,0.0,
52,1176,-10.999999999999993,25,-491.2199999999999,-10.387999999999996,-9.446538461538458,True,True,False,False,False,NAVIGATE,1,1,,,,,
53,1204,-10.799999999999994,25,-502.0199999999999,-10.859999999999996,-9.47207547169811,True,True,False,False,False,NAVIGATE,2,2,,,0.9913312,0.0,
54,1228,-10.399999999999999,25,-512.42,-10.399999999999995,-9.489259259259256,True,True,False,False,False,NAVIGATE,6,2,,,0.9911584,0.0,
55,1248,-6.440000000000001,22,-518.86,-11.121999999999995,-9.43381818181818,True,True,True,False,False,TREAT,4,2,,,0.9910144,0.0,
56,1264,-2.9600000000000004,13,-521.82,-9.917999999999994,-9.31821428571428,True,True,True,False,False,TREAT,4,2,,,0.9908992000000001,0.0,
57,1288,-14.999999999999993,25,-536.82,-9.917999999999996,-9.4178947368421,False,False,False,False,False,ANALYZE,2,2,,,0.9907263999999999,0.0,
58,1312,-14.999999999999993,25,-551.82,-10.257999999999996,-9.514137931034478,False,False,False,False,False,ANALYZE,1,1,,,0.9905535999999999,0.0,
59,1336,-12.499999999999993,25,-564.32,-10.507999999999996,-9.56474576271186,True,False,False,False,False,NAVIGATE,2,2,,,0.9903808,0.0,
60,1364,-11.199999999999998,25,-575.5200000000001,-11.029999999999998,-9.591999999999995,True,True,False,False,False,NAVIGATE,3,1,,,0.9901791999999999,0.0,
61,1376,-4.0,15,-579.5200000000001,-9.929999999999996,-9.500327868852455,True,True,True,False,False,TREAT,4,2,,,0.9900928000000001,0.0,
62,1392,-3.6000000000000005,15,-583.1200000000001,-9.189999999999996,-9.405161290322576,True,True,True,False,False,TREAT,4,1,,,0.9899776,0.0,
63,1416,-8.3,25,-591.4200000000001,-8.939999999999996,-9.387619047619044,True,True,True,False,False,TREAT,4,1,,,0.9898048,0.0,
64,1444,-10.399999999999999,25,-601.82,-8.939999999999998,-9.403437499999997,True,True,False,False,False,NAVIGATE,6,2,,,0.9896032,0.0,
65,1468,-10.799999999999997,25,-612.62,-9.375999999999998,-9.424923076923074,True,True,False,False,False,NAVIGATE,2,2,,,0.9894304,0.0,
66,1492,-11.599999999999996,25,-624.22,-10.239999999999997,-9.457878787878785,True,True,False,False,False,NAVIGATE,3,2,,,0.9892576000000001,0.0,
67,1516,-14.999999999999993,25,-639.22,-10.239999999999998,-9.54059701492537,False,False,False,False,False,ANALYZE,2,2,,,0.9890848000000001,0.0,
68,1544,-14.999999999999993,25,-654.22,-10.239999999999998,-9.620882352941173,False,False,False,False,False,ANALYZE,1,1,,,0.9888832000000001,0.0,
69,1568,-10.449999999999994,25,-664.6700000000001,-10.034999999999997,-9.632898550724635,True,True,False,False,False,NAVIGATE,1,1,,,0.9887103999999999,0.0,
