Model,Mean Reward,Std Reward,Success Rate (%),Mean Steps,Final Pest Level,Action Diversity,Pest Improvement
DQN,117.30061276160882,0.9436419392348546,100.0,30.0,0.07155168612996737,0.09523809523809523,0.04296785441358884
PPO,102.63367951711022,0.7274210546804394,100.0,30.0,0.1056159183382988,0.09523809523809523,0.012251266837120056
REINFORCE,11.654021920154891,0.7582884090275147,100.0,2.0,0.15407075254837674,0.09523809523809523,-0.03640444221576055
A2C,54.40712300312418,3.911375503188898,93.33333333333333,30.0,0.19572239908754824,0.09523809523809523,-0.07872191536168258
A2C_v2,15.041391764807702,13.066264416924353,0.0,15.2,0.9766115885941188,0.14285714285714285,-0.8562593358977637
